StationTypeId;WindSpeed;Potencia Teórica
5;0.00;0.00
5;1.00;0.00
5;2.00;0.00
5;3.00;0.05
5;4.00;0.14
5;5.00;0.29
5;6.00;0.52
5;7.00;0.84
5;8.00;1.25
5;9.00;1.76
5;10.00;2.30
5;11.00;2.78
5;12.00;3.06
5;13.00;3.14
5;14.00;3.15
5;15.00;3.15
5;16.00;3.15
5;17.00;3.15
5;18.00;3.15
5;19.00;3.15
5;20.00;3.15
5;21.00;3.15
5;22.00;3.15
5;23.00;3.15
5;24.00;3.15
5;25.00;3.15
